FirstName,MiddleName,LastName,Alias,NetWorth,Age,Role,Cid,Sid,Pid
Giana,David,Kesley,,$932627.26,34,Captain,70,162,388
Locke,,Ding,Stormfang Sally,$596520.31,33,Boatswain,57,116,389
Anatole,,Benson,,$615102.11,77,Boatswain,32,316,390
Tiebout,,Sommerville,The Shattered Skull,$149800.30,33,Quartermaster,23,475,391
Godiva,Joseph,Cranmer,,$599636.73,50,Boatswain,38,483,392
Saw,Matthew,Gergler,Cutter’s Curse,$771191.35,51,Gunner,6,269,393
Fabio,Nicole,Buttwell,,$294343.67,10,First Mate,45,325,394
Chrystal,,Cawte,,$305361.45,56,Navigator,62,288,395
Carter,,Lister,,$81099.00,57,Cabin Boy,39,455,396
Margot,Jennifer,Aymer,,$958139.28,19,Captain,34,47,397
Dee dee,Robert,Spry,,$455631.23,73,Cabin Boy,30,32,398
Shelden,James,Thying,,$882396.06,50,Boatswain,60,396,399
Randolph,,Mcasparan,,$3477.90,19,Quartermaster,63,219,400
Kristel,,Alen,,$455955.42,80,Navigator,22,480,401
Jeannette,,Shurrocks,,$136559.97,50,Boatswain,20,200,402
Barton,,Lohan,,$629797.03,50,Boatswain,49,136,403
Tallie,,Scadden,The Kraken King,$943139.64,77,Gunner,44,228,404
Worthington,,Mallia,Shipwreck Rick,$715126.79,56,Quartermaster,80,358,405
Heloise,,Gillbee,,$500267.50,79,Gunner,52,238,406
Berri,David,Tibbotts,,$662346.83,66,Navigator,16,72,407
Sigismond,,Hitcham,,$573677.05,80,Navigator,92,245,408
Prudy,,Limerick,,$612381.09,28,Cabin Boy,56,405,409
Billye,,Spearman,,$671560.60,35,Boatswain,15,174,410
Rodolph,Matthew,Joburn,,$670981.45,50,Captain,59,421,411
Teirtza,Jessica,Kubecka,Stormcloud Sam,$351724.66,28,Gunner,95,375,412
Fulton,Amanda,Keller,Cutter’s Widow,$3414.01,34,Navigator,76,344,413
Kerri,,Scollard,,$924838.63,58,First Mate,43,407,414
Mellie,Amanda,Johnys,,$626437.10,30,Boatswain,62,5,415
Vincenty,Robert,Ions,Grimfist Gable,$997563.57,43,First Mate,71,289,416
Bebe,,Trill,,$440263.43,56,Gunner,27,359,417
Ansell,,Kitchinghan,,$573430.43,26,Captain,31,381,418
Adele,Samantha,Barchrameev,Skyward Sorrows,$328461.47,35,Cabin Boy,61,294,419
Filippo,,Escoffier,Pirate King Klaus,$456816.30,64,Gunner,26,398,420
Flynn,,Shuttell,,$719684.89,72,Quartermaster,63,96,421
Sam,Matthew,Rittelmeyer,,$622012.16,50,Quartermaster,3,151,422
Dru,Jennifer,Linforth,,$962174.23,23,First Mate,40,312,423
Ross,,Roderigo,,$423991.07,67,Boatswain,88,88,424
Wilhelmina,,Strewthers,Tidestriker Ted,$498218.56,15,First Mate,69,135,425
Tabb,Robert,Cluett,,$906148.07,57,Quartermaster,34,117,426
Aldis,,Petersen,,$770780.32,72,Gunner,59,250,427
De witt,,Rivelin,,$140552.94,47,Cabin Boy,13,459,428
Brianna,,Bettam,,$489988.22,54,Quartermaster,57,136,429
Solomon,,Di Biasi,,$492674.36,53,Gunner,65,47,430
Alphard,David,Paffley,Deadlock Derek,$979337.63,19,Boatswain,95,101,431
Kelcy,,Annandale,Phantomflare Phil,$487919.10,51,Cabin Boy,12,150,432
Sheff,,Keble,,$537431.96,21,Gunner,35,473,433
Hendrik,,Beckmann,,$414979.24,56,Navigator,47,452,434
Pietrek,Samantha,Tuxsell,,$34432.80,13,Navigator,20,345,435
Franciska,Michael,Yuill,,$114775.35,14,First Mate,37,52,436
Samantha,,Pentecust,,$327761.44,24,Captain,14,426,437
Jeff,,Bowles,,$102580.01,17,First Mate,34,331,438
Gretta,,Yerill,Captain Darkstone,$302771.94,44,Gunner,92,113,439
Suellen,,Benjamin,Dreadhook Duncan,$993921.72,68,Boatswain,84,413,440
Hakim,Matthew,Mc Gaughey,The Moonlit Marauder,$759483.10,20,Gunner,65,125,441
Tuck,,Prantl,Silent Hammer Sam,$988041.40,22,Boatswain,45,202,442
Christian,,Laboune,The Deepwater Demon,$828448.25,48,Gunner,57,352,443
Eartha,,Blowfield,,$461570.94,58,Navigator,55,280,444
Geno,Emily,Stealfox,Vengeful Vicki,$699797.32,32,Boatswain,7,425,445
Zorina,,Ovesen,Ironclaw Ivan,$135094.25,35,Captain,47,455,446
Georgetta,Emily,O'Griffin,,$388619.34,59,Cabin Boy,67,415,447
Dunstan,Michael,Creebo,Widow’s Fury Wayne,$915509.09,73,Quartermaster,17,51,448
Lynne,Nicole,Van Dijk,The Dark Reaver,$36749.72,24,First Mate,66,23,449
Amerigo,,Seatter,,$741713.28,56,Quartermaster,60,380,450
Jasmina,,Glantz,,$372809.75,17,Captain,9,76,451
Danyelle,,Garnett,The Lost Buccaneer,$115320.98,20,Boatswain,64,249,452
Wittie,Ashley,Noon,,$33726.58,46,Captain,3,119,453
Antone,,Waszczykowski,Ironhide Iris,$892954.23,33,Boatswain,22,278,454
Ariel,,Nelligan,,$859602.06,55,Quartermaster,59,320,455
Gnni,Robert,Dightham,,$803815.19,34,Captain,82,434,456
Rob,Christopher,Griffitt,Furyfin Fred,$48228.69,15,Cabin Boy,71,369,457
Gregory,,Farnill,,$660578.22,71,Boatswain,95,79,458
Ellsworth,,Pawlata,,$995037.42,64,Boatswain,8,28,459
Devlen,,Shelliday,,$141963.83,71,Cabin Boy,52,407,460
Isadora,,Pellitt,Bonefin Betty,$461603.22,59,Cabin Boy,1,60,461
York,Emily,Buffham,,$799662.00,22,Cabin Boy,17,251,462
Laney,,Josifovitz,,$829570.13,36,Cabin Boy,41,46,463
Jamil,,Skamell,,$415573.57,54,Captain,21,181,464
Rosemary,,Licciardello,,$937327.40,79,Boatswain,13,386,465
Maura,,Spittle,,$261018.38,72,Captain,11,410,466
Gregor,,Smorthwaite,Cursed Tide Trevor,$870228.03,38,Captain,81,497,467
Corenda,,Lipmann,,$203055.95,80,Navigator,57,322,468
Nadya,,Oger,,$441624.37,55,First Mate,25,113,469
Osgood,,Greir,,$994734.32,56,First Mate,65,389,470
Massimo,James,Berard,,$837921.68,11,Navigator,16,216,471
Beryle,,Kemitt,Ocean’s Wrath,$625545.39,56,Cabin Boy,43,384,472
Kyle,Jennifer,Sabates,The Dark Marauder,$831837.57,20,First Mate,42,350,473
Kalindi,,Lake,,$907129.82,37,First Mate,9,342,474
Sorcha,,Gerrill,,$595539.38,19,Boatswain,99,483,475
Ely,,Spawton,,$978811.41,47,Navigator,82,314,476
Margery,,Nerne,,$563927.49,41,Cabin Boy,59,259,477
Elladine,,Orchard,,$192348.08,40,Navigator,29,249,478
Caritta,,Abramski,,$335139.48,80,Navigator,26,318,479
Tim,Elizabeth,Blankman,,$678667.53,31,Boatswain,49,67,480
Hayyim,,Casserly,,$813582.74,42,Captain,6,416,481
Austin,,Woolhouse,Graveclaw Gerald,$430529.10,42,Navigator,74,308,482
Anjela,,Kleinsinger,,$959498.90,61,Quartermaster,18,145,483
Lauri,Melissa,Zannuto,,$916749.51,58,Navigator,62,237,484
Florrie,,Ingree,,$461147.33,26,Boatswain,51,363,485
Chadwick,,Robinett,Grimshadow Grayson,$675966.26,63,Quartermaster,76,241,486
Cristina,,Treend,,$664323.05,70,Boatswain,68,201,487
Garv,Michael,Aspital,,$376824.38,41,Captain,40,272,488
Talyah,,Wheelband,,$719469.77,62,Boatswain,17,234,489
Hedvige,,Seggie,,$877209.54,46,Navigator,48,258,490
Mercie,Joseph,Shew,Sharkbreaker Shaw,$416839.22,43,Cabin Boy,98,407,491
Chere,,Lenglet,Boneclaw Billy,$640875.50,44,Boatswain,11,366,492
Ebeneser,,Capnerhurst,,$176683.52,74,Captain,67,140,493
Dodie,,Norwood,Tempestblade Thomas,$60752.74,48,First Mate,91,283,494
Waneta,John,Meecher,,$642014.08,67,Gunner,49,304,495
Nancie,,Reis,,$941411.89,24,Quartermaster,5,29,496
Carry,,Manuele,,$26246.34,55,Captain,34,467,497
Gayel,,Dadley,,$932338.86,48,First Mate,44,332,498
Emlynne,,Griffoen,,$957590.91,40,Boatswain,20,143,499
Georgia,Matthew,Miskin,,$337719.16,38,Cabin Boy,95,350,500
Marylynne,Nicole,Mayor,Blackwhale Billy,$446514.74,36,Captain,52,43,501
Shelley,,Lauks,The Sea Reaver,$228328.90,20,Gunner,4,135,502
Gunilla,,Payley,,$246599.60,46,Gunner,26,331,503
Roddie,,Follen,,$8853.26,68,Cabin Boy,3,145,504
Walden,,Jeffery,Saltbeard Sally,$578131.85,49,Quartermaster,57,73,505
Kalli,Joseph,Oliver-Paull,Bloodbane Boris,$206490.07,38,First Mate,8,377,506
Hew,Joseph,Ortas,,$862558.70,43,First Mate,35,68,507
Raimundo,John,Dorey,The Drowned Sea,$872778.85,58,Navigator,23,314,508
Miguel,,Climo,Moonshadow Mel,$988626.43,67,Navigator,54,348,509
Neal,,Caddies,Stormstrike Sidney,$328380.67,18,Cabin Boy,68,468,510
Bron,,Doppler,,$798913.81,10,Gunner,56,361,511
Allayne,Daniel,Spavon,Grimcloak Gregor,$770062.59,22,First Mate,74,184,512
Eryn,,Norville,,$652516.59,39,Cabin Boy,3,197,513
Garwin,,Wyant,Dreadtide Derrick,$17507.24,75,Captain,45,74,514
Felipe,Nicole,Tossell,,$30453.41,33,Gunner,73,65,515
Daisey,Elizabeth,Laverty,The Dagger’s Curse,$18906.87,48,Gunner,76,292,516
Hoyt,,Withrop,,$673762.96,66,Gunner,22,133,517
Martie,,Treasaden,,$197902.64,18,First Mate,62,326,518
Chip,,De Caville,,$144847.55,77,Cabin Boy,98,72,519
Ailyn,,Brookes,,$13605.93,57,Quartermaster,32,377,520
Isak,David,Blakeney,,$60773.60,14,Captain,69,458,521
Gunner,,Scorrer,Nightshade Neal,$172642.77,46,Cabin Boy,77,395,522
Zacharia,Melissa,Asipenko,,$638073.24,58,Cabin Boy,95,295,523
Sadie,,Skone,,$596634.06,55,Captain,67,40,524
Zebulen,,Mawson,,$714580.58,53,Cabin Boy,84,436,525
Jeanine,Sarah,Pentecust,,$292591.28,42,Cabin Boy,42,386,526
Darnell,,Serfati,Skullmist Stellan,$603828.96,72,Captain,58,75,527
Cherilyn,Robert,Camin,Bonebreaker Brenda,$86683.62,10,Cabin Boy,8,414,528
Jo ann,,Fick,,$993442.20,37,Gunner,48,286,529
Clemente,,Mastrantone,Shadowclaw Savannah,$948412.20,63,First Mate,48,386,530
Rich,John,Ajam,,$171203.84,69,First Mate,90,497,531
Niel,,Whitmore,The Bloodfang Raider,$868539.09,78,First Mate,58,297,532
Horace,,Cobbe,Cutter’s Reign,$926184.63,35,First Mate,23,32,533
Nehemiah,Melissa,Friedank,,$463445.06,48,Cabin Boy,47,146,534
Marcille,,Skitterel,,$243587.54,46,Cabin Boy,37,24,535
Johannah,Daniel,Chevolleau,,$563473.20,29,Captain,96,491,536
Tucker,,Lamey,,$461830.63,21,Navigator,85,346,537
Beret,,Tilney,,$50600.31,17,Captain,30,290,538
Skye,David,Espadero,,$24891.26,70,Captain,18,236,539
Finley,Emily,Dellit,Bonejaw Brandon,$702339.87,19,Captain,89,88,540
Sue,,O' Quirk,,$557094.04,51,Cabin Boy,81,37,541
Wilmer,Melissa,Baudone,,$540244.74,23,Boatswain,94,121,542
Blake,,Nurny,Devil’s Claw,$957231.25,63,Captain,77,369,543
Portie,,Eisak,,$166353.29,55,Quartermaster,19,136,544
Winslow,Nicole,Townley,Silent Tide,$648722.84,11,Navigator,53,117,545
Dicky,,Inold,Phantom Blade,$213800.62,78,Navigator,17,387,546
Jerad,Jennifer,Master,Nightcaller Nathan,$731441.98,22,Boatswain,79,235,547
Abbie,Sarah,Meriel,,$968425.05,41,Captain,7,472,548
Andros,,Berrycloth,,$671862.63,43,Cabin Boy,67,53,549
Fabiano,Jessica,MacCallister,,$701483.87,51,Boatswain,54,199,550
Kristos,James,Burcher,,$509587.74,29,First Mate,91,104,551
Burke,James,Searchwell,,$535209.37,19,Gunner,50,86,552
Armand,,Merchant,,$916338.22,30,First Mate,25,324,553
Fraser,,Lengthorn,Nightfury Nina,$805048.42,45,Navigator,48,259,554
Fraze,,McMahon,,$199696.29,34,Captain,56,83,555
Demott,,Sywell,,$909069.36,45,Cabin Boy,18,108,556
Elwira,,Moylane,,$65582.20,36,Boatswain,59,389,557
Boote,,Colpus,,$183959.80,64,Navigator,35,255,558
Brittany,,Dottridge,,$324039.82,10,Quartermaster,81,339,559
Homere,,Wither,Vilephantom,$877356.28,15,Captain,75,473,560
Leopold,,Poytress,Dreadshroud Darren,$665265.00,19,Cabin Boy,44,12,561
Alameda,Jennifer,Towl,,$787682.62,59,First Mate,32,4,562
Abigale,,Walmsley,,$214044.53,44,Navigator,54,482,563
Vinita,Melissa,Duffell,The Eternal Dagger,$914717.50,21,Navigator,20,405,564
Jerrie,,Pinsent,,$124485.55,38,Captain,7,162,565
Giorgi,,Ellsom,,$434305.20,25,Cabin Boy,38,437,566
Whittaker,,Pavlenko,Seawitch Scarlett,$282127.79,32,Captain,23,212,567
Dolores,,Groucock,,$878204.53,71,Boatswain,79,351,568
Tansy,Melissa,Geraldi,,$915604.20,51,Cabin Boy,71,143,569
Nikki,,Wilmott,The Night Pirate,$998854.28,79,Quartermaster,40,321,570
Kent,Michael,Yellowlea,,$439813.40,31,Boatswain,73,372,571
Kristofer,,Geare,,$425912.46,21,Boatswain,97,10,572
Brion,,Pechan,Sea Wraith Silvia,$2604.00,16,Navigator,55,446,573
Ilyssa,Robert,Cohane,Silentclaw Sabrina,$52755.88,43,Navigator,21,17,574
Yelena,,Whetland,,$332841.43,32,Gunner,2,72,575
Margarethe,,Greenland,Raging Corsair,$434482.89,13,Cabin Boy,99,317,576
Anitra,,Jaggs,,$717848.37,27,Navigator,18,450,577
Karie,,Hallatt,,$663665.64,45,Navigator,35,407,578
Elka,,Joskowitz,,$365719.88,37,Boatswain,24,195,579
Ahmad,,Verissimo,,$230104.24,70,Gunner,67,113,580
Caitrin,Daniel,Ludvigsen,,$978903.87,58,Navigator,42,491,581
Happy,Nicole,Savaage,,$109310.84,50,Captain,84,112,582
Rayner,,Havvock,,$719074.34,57,Cabin Boy,48,266,583
Buiron,,Ibbott,,$443367.14,42,Quartermaster,92,148,584
Lester,,Curm,,$324863.48,35,Boatswain,9,443,585
Shana,,Tapin,,$684726.73,71,Boatswain,28,482,586
Kelly,,Lathwell,,$123577.28,18,Navigator,95,9,587
Celisse,Amanda,McCrackan,,$864526.06,51,Captain,89,401,588
Thaddeus,Samantha,Bilton,,$753645.73,74,Cabin Boy,60,385,589
Jamey,,Fettis,,$567938.18,58,Captain,74,397,590
Hannah,Sarah,McColley,,$781987.88,24,Navigator,44,20,591
Cymbre,,Ord,,$581683.79,40,Boatswain,58,78,592
Larisa,,Jahndel,,$16536.26,33,Captain,64,381,593
Cordelia,,Hedon,,$365392.36,11,Gunner,12,166,594
Sabrina,Ashley,Howett,,$821548.43,11,Quartermaster,88,15,595
Christalle,David,Pucknell,,$285656.46,64,Cabin Boy,30,311,596
Andi,,Copnall,Bloody Marrow,$356972.52,17,First Mate,27,29,597
Mab,,Lucus,,$316428.84,17,Navigator,21,258,598
Natalina,,Oldfield-Cherry,,$443608.71,17,Quartermaster,40,132,599
James,,Nizet,,$864467.75,47,Captain,7,413,600
Leilah,,Mephan,,$934081.97,24,Navigator,39,288,601
Leslie,,Pashenkov,,$931711.75,61,Cabin Boy,21,280,602
Shirlene,,Woolager,,$249238.40,74,Captain,24,404,603
Yvonne,,McAllister,,$979456.54,74,Boatswain,18,387,604
Giraud,,Trewhitt,,$159048.31,44,Navigator,98,243,605
Maridel,,Bomfield,,$885908.79,48,Cabin Boy,95,315,606
Gabi,,MacCracken,,$862124.90,36,Boatswain,53,337,607
Shawn,Emily,Burehill,Ruthless Rhys,$690419.57,67,First Mate,64,283,608
Ara,,Dressel,,$587635.48,71,Navigator,76,334,609
Alexis,,Vaadeland,,$695860.20,57,Quartermaster,42,223,610
Orson,Amanda,Mackro,,$203866.03,64,Gunner,30,228,611
Rennie,,Vickarman,,$258548.07,19,Gunner,2,73,612
Verene,,Hotchkin,Cannonball Cutter,$649246.29,11,Navigator,75,261,613
Shayla,,Jurgen,,$737273.12,61,Captain,63,220,614
Rusty,,Unstead,,$149328.72,78,Navigator,80,42,615
Dudley,David,Sneesby,Grimspire Gage,$904226.78,52,Gunner,34,72,616
Elvyn,,Windaybank,Widow’s Grin Glenn,$288755.63,43,Captain,12,375,617
Elianora,,Rayner,,$347364.24,79,Gunner,56,454,618
Lena,,Howlett,,$653616.68,65,Navigator,84,343,619
Nevsa,,Gregson,,$824116.95,69,Navigator,70,11,620
Fernando,,Notman,Siren’s Scream Sean,$669998.67,18,Boatswain,19,436,621
Bertrand,,Whettleton,,$624566.59,44,Boatswain,42,464,622
Brianne,,Trusse,Bane of the Sea,$980623.45,62,Boatswain,33,175,623
Kent,,Gerardi,,$922567.14,58,Captain,94,131,624
Millie,,Shury,Vicious Vane,$83919.14,68,Boatswain,25,161,625
Emmalee,Michael,Beaudry,,$671095.36,30,Boatswain,13,87,626
Rodina,Ashley,Stickles,,$276221.04,67,First Mate,14,454,627
Tore,Melissa,Sainer,Flamefang Fred,$875348.43,59,Gunner,92,19,628
Torr,,Bailie,,$283981.68,52,Gunner,31,385,629
Cynthia,,Allsop,,$589124.76,51,Navigator,3,321,630
Tate,Jennifer,Dinnage,Wraith Walker Wayne,$828701.23,41,Boatswain,99,471,631
Marlo,,Barwell,,$790808.34,15,First Mate,46,406,632
Cornell,,Reichartz,Night’s Embrace Nessa,$129155.21,23,Captain,41,186,633
Darcie,,Crebbin,Grave Mist,$128382.52,32,Cabin Boy,17,230,634
Sari,David,Kopisch,,$657058.28,51,Navigator,97,112,635
Percy,,Line,,$623648.80,61,Gunner,1,355,636
Amy,,Tidcombe,,$11121.82,77,Boatswain,57,313,637
Timi,Christopher,Eveleigh,The Stormbreaker,$792748.21,79,First Mate,100,499,638
Sibby,,Edmonds,,$531893.67,45,Cabin Boy,19,83,639
Renault,,Haglington,,$687464.79,62,Cabin Boy,16,54,640
Leonhard,Amanda,Riddel,,$735323.47,26,Navigator,54,491,641
Colette,,Waggatt,,$571573.31,54,Navigator,48,59,642
Netty,,Routhorn,,$176747.72,53,Boatswain,70,240,643
Essie,,Kippen,Boneblade Bartholomew,$499682.85,54,Quartermaster,49,143,644
Kori,,Vinten,Riptide Rob,$185968.18,45,First Mate,76,52,645
Wallace,,Nyssens,The Black Ghost,$216229.31,62,Quartermaster,20,426,646
Cinda,,Keddy,,$975506.04,60,Quartermaster,16,152,647
Hussein,,Creamer,,$391358.51,71,Quartermaster,40,316,648
Emmaline,,Orme,Plaguefist Piers,$185571.48,58,Gunner,7,337,649
Myrle,,Major,Shardjaw Sampson,$286025.82,69,Quartermaster,94,114,650
Hogan,,Vasyuchov,Grimfang Greg,$364242.31,11,Boatswain,58,10,651
Ferguson,,Langthorn,The Abyss’s Whisper,$78569.64,80,First Mate,49,117,652
Loria,,Kuhndel,,$489548.84,66,Quartermaster,69,154,653
Ewen,Joseph,McDirmid,,$428154.28,15,Captain,48,53,654
Annamarie,,Gravenall,,$633803.33,10,First Mate,90,440,655
Chrysa,,Roz,,$744001.37,50,First Mate,78,468,656
Tally,James,Le Cornu,Ironbone Ike,$633361.38,60,First Mate,31,384,657
Thurston,,Fagge,,$421568.57,62,Navigator,77,54,658
Jennette,,Gunnell,Raven’s Fury,$296212.68,16,Quartermaster,57,94,659
Dasha,,Hercock,Coldshot Carl,$207891.74,58,Cabin Boy,64,280,660
Minnie,,Beagan,Captain Nightshade,$67479.56,33,Gunner,32,344,661
Angil,Melissa,Lamba,,$274080.59,46,Navigator,63,255,662
Conroy,,Grubbe,,$980552.96,78,Cabin Boy,9,253,663
Betti,,Elwill,,$219912.37,22,Boatswain,38,328,664
Shadow,,Mosdill,,$74856.39,16,Captain,26,389,665
Julissa,,Christoffe,,$505982.19,33,Navigator,27,304,666
Tara,,Boleyn,,$217781.07,72,Boatswain,70,465,667
Heddi,,Boriston,,$800607.80,54,First Mate,8,315,668
Lion,,Sansam,,$47163.71,11,Quartermaster,100,359,669
Hanna,,McCunn,,$815456.81,33,First Mate,46,236,670
Wandie,,Sutor,Blackfin Bridget,$730156.34,67,Boatswain,18,377,671
Taddeo,Elizabeth,Deeth,,$124918.67,73,Gunner,77,34,672
Elna,,Coppledike,Nightfury Nick,$237425.10,36,Gunner,31,318,673
Sibeal,Melissa,Milnthorpe,Captain Swiftstrike,$734177.49,50,First Mate,4,337,674
Lenora,,Erie,Raging Rowena,$687394.23,31,Quartermaster,42,173,675
Kimball,Melissa,Zecchii,,$116678.25,11,Captain,59,342,676
Pepita,Michael,Glanfield,Scurvy Syd,$922284.37,48,Gunner,50,278,677
Hadleigh,,Grishenkov,,$209790.17,57,Quartermaster,23,291,678
Daryn,,Streater,Frostclaw Fergus,$728817.01,49,Boatswain,91,353,679
Florinda,,Jurasz,,$445101.58,79,First Mate,94,66,680
Odelle,,Nucci,,$481692.68,30,Gunner,9,161,681
Giuseppe,,McRavey,,$314055.38,13,Navigator,58,431,682
Mikol,Michael,Oland,,$114945.17,73,Cabin Boy,84,26,683
Luz,Samantha,McNerlin,,$138723.90,15,Captain,64,109,684
Free,,Blight,,$347042.46,74,Boatswain,2,47,685
Marissa,,Topper,Cutter’s Curse,$666454.82,70,Gunner,44,87,686
Valentine,,Brokenshire,Bloodbeard Barry,$549977.83,47,Navigator,75,67,687
Kimble,,Haliburn,Captain Soulshade,$319731.93,47,Gunner,10,88,688
Susanne,,Crilly,Jolly Roger Rick,$835223.53,42,Navigator,1,415,689
Charmane,,Mattin,,$211937.07,59,First Mate,38,479,690
Michell,Amanda,McGrail,,$143318.23,67,Gunner,9,302,691
Aviva,,Smorthit,,$975726.14,75,Gunner,4,471,692
Jozef,,Barends,,$27787.11,73,Navigator,59,37,693
Mureil,,Grishenkov,Saltmaw Simon,$844812.21,65,Captain,15,221,694
Kassia,,Cranch,,$363893.99,38,Navigator,39,379,695
Wilmar,,Gherarducci,Fearsome Fawn,$615698.21,26,Navigator,84,364,696
Lorettalorna,Daniel,Butchers,,$571792.10,27,Boatswain,100,250,697
Shepard,,Mc Ilwrick,Shipwreck Rick,$2788.13,74,Cabin Boy,79,81,698
Shell,Ashley,Mattingley,The Dire Dagger,$455144.42,78,Quartermaster,35,375,699
Wini,,Palley,,$984499.75,15,Gunner,82,222,700
Maritsa,,Capper,,$673911.11,40,Quartermaster,29,374,701
Quentin,Melissa,Hum,,$427891.42,72,Boatswain,26,447,702
Alec,David,Bette,The Widow’s Revenge,$167589.12,26,Boatswain,18,47,703
Porter,,Fitchet,,$729921.19,45,Cabin Boy,11,176,704
Laraine,,Vasler,,$450394.97,11,Quartermaster,67,144,705
Ariel,Samantha,Paolotto,,$597041.84,76,First Mate,88,178,706
Rebekah,,McPolin,,$497131.52,45,Gunner,75,351,707
Larisa,Elizabeth,Di Meo,,$14625.03,11,First Mate,62,488,708
Jethro,John,Filyushkin,,$288511.83,64,Boatswain,53,1,709
Ogdan,,Knagges,,$718182.54,61,Quartermaster,64,260,710
Miguel,,Caroli,,$250718.74,74,Navigator,68,154,711
Damaris,,Buttle,,$41821.85,63,Boatswain,37,322,712
Adrien,,Bleakley,,$624388.73,28,First Mate,16,466,713
Sigfried,,Vedyaev,,$756200.45,66,Captain,32,90,714
Romona,Jennifer,Pilgrim,Ironcross Irene,$283569.27,59,Navigator,8,191,715
Rene,,Alvey,,$65726.70,67,Captain,59,458,716
Darrin,,Haacker,,$100321.01,37,Navigator,52,415,717
Alf,,Furness,Tidestriker Ted,$566213.32,60,Cabin Boy,97,456,718
Brodie,,Lundberg,,$85847.76,45,Cabin Boy,99,348,719
Siffre,Amanda,Ickovitz,,$747764.57,18,Captain,48,192,720
Hobey,,Petrosian,Crimson Thorn Carl,$198977.86,35,Gunner,7,128,721
Nickolaus,,Easum,,$724519.05,15,Cabin Boy,2,426,722
Sheilah,,Belk,,$356715.37,73,Quartermaster,39,43,723
L;urette,Matthew,Santacrole,,$959042.02,71,Quartermaster,80,401,724
Jenda,,Midson,,$546703.84,31,Navigator,72,139,725
Lorry,Emily,Keenlyside,,$971444.99,21,First Mate,49,364,726
Rafe,,Bisco,,$108347.26,56,First Mate,61,67,727
Sollie,,Candy,,$757270.99,45,Navigator,17,261,728
Darb,Jennifer,Froment,,$404898.96,43,Gunner,71,320,729
Heall,,Kleiser,Wicked Wren,$436212.85,16,First Mate,46,435,730
Marlow,,Dreossi,,$519246.43,22,First Mate,95,290,731
Welch,Samantha,McGettigan,Captain Darkstone,$362027.58,69,Quartermaster,86,363,732
Mag,,Wolledge,,$107297.32,48,Boatswain,31,159,733
Floris,,Parrott,,$714223.53,50,Gunner,76,60,734
Scarlett,,Rigeby,,$863515.57,27,Captain,53,349,735
Agretha,Nicole,Champain,,$483574.86,24,Cabin Boy,38,110,736
Abagail,,Ulrik,,$95997.80,19,Quartermaster,83,414,737
Gardy,,Veronique,Vengeful Vicki,$782304.26,31,Boatswain,44,41,738
Ariela,,Burroughes,,$805683.76,25,Gunner,13,96,739
Eberhard,,Pockett,Skullcrusher Kit,$209383.83,26,Boatswain,27,17,740
Malinda,,O'Heneghan,,$286839.94,30,Cabin Boy,28,481,741
Fanchette,,Hancill,,$37081.40,24,Cabin Boy,65,446,742
Joly,Matthew,Hankinson,,$718844.88,27,First Mate,54,81,743
Wilburt,Daniel,Frensch,,$910607.45,66,Captain,79,272,744
Marla,Emily,Cuppitt,The Lost Buccaneer,$66639.41,35,Quartermaster,24,390,745
Reuben,,Stockford,Wavebreaker Walter,$423852.17,33,Gunner,3,448,746
Gaston,,Plenderleith,,$42445.58,79,Captain,56,423,747
Bartholemy,Joseph,Haacker,,$67939.21,63,Boatswain,88,59,748
Sharai,,Mapstone,,$174377.84,34,First Mate,12,130,749
